Document Id,Similar Count,Hash,Document Type,File Extension,File Size,Character Count,Page Count,Primary Language
8,6,E41BCEDFF63E40BE2298885D941C1159D5E7C0D6,Email,.msg,277504,8464,4,English
9,7,E88B9BAF2CC814398E8A80FDD125DE1328FF13E5,Email,.msg,249344,7825,4,English
28,1,BB52C4B09D2888B3B754FB7D7D38470838187DC7,Email,.msg,92160,3015,2,English
39,3,47A840F07E2D670D0707A44068B13B5C4A264C00,Email,.msg,87040,5643,3,English
45,6,6FA8CFCF23F50635513685DB2BBDB38F320DC556,Email,.msg,244736,8123,4,English
52,1,5AF62E0D728714314CA05B6B520667ABCD933203,Email,.msg,89600,1368,1,English
71,5,1280DDDD0B546637C5956E116B1072E5FF59C0D7,Email,.msg,96768,6548,3,English
99,1,3A1B3D7F36B6C7ED7ED80F815716B80F2E39B183,Email,.msg,578560,1192,1,English
121,2,6BAD4356D3FFB03B9099B929B6357E88FB0F5754,Email,.msg,51200,3148,3,English
122,6,6D113A57E33665CB5746BDA4DCC5B6502361AE7C,Email,.msg,206848,8741,5,English
123,5,6DEBE4494FF115876E37111C669E64D44BAAFE90,Email,.msg,503296,6720,4,English
153,1,FC0533F4D6DC347620F43FC464486B7DCC30D578,Email,.msg,114176,3626,3,English
183,1,0724DEEC9963D0FBCBA5A683D6007E67BCEB3527,Email,.msg,246272,1898,2,English
188,2,013621FF09E998020C16B8FDF32005D4140BEB13,Email,.msg,123392,5409,3,English
220,4,2BEA3DDC51DC1D15E981EBBD059B45425BCCEA0D,Email,.msg,189952,33396,19,English
251,2,2BFF9117D5C6CD43AB5680CA1E9C943AF78E0F85,Email,.msg,88576,9403,5,English
335,1,949531D5F8EEFB425A0ED0A2148604DA90EAFA45,Email,.msg,68608,3539,2,English
343,2,0DE91A4D259FF7B7A8133F306239F9DCC62E8261,Email,.msg,69120,3972,3,English
391,5,10F26276CAFA302EA9619270D65CDF4C8EE7021B,Email,.msg,70144,10576,5,English
1438,1,70E66273311B32FCE66BBD83ED1E5A7B0F651FBC,Email,.msg,12195328,6351,3,English
1445,1,DCB4325797F97AD5A39665BB0D5C8E82E3346E35,Email,.msg,12231680,7562,3,English
1726,1,0013E91FB21C2104A440C806B961A7D42798D868,Email,.msg,86016,2035,2,English
1734,6,27C134B6F7B2E312D139A36885288277E02B91DF,Email,.msg,57856,5733,4,English
1793,4,AF65CDECBB26A55912A1FC5220C5E3C0F324E14C,Email,.msg,47104,2794,2,English
1798,2,B3C01D90F032EB3CEF66451B940F72A8A7BE9766,Email,.msg,94208,2189,2,English
1799,4,B430C9747A3ECBAB9B7685AA7845A9D0E9402336,Email,.msg,41472,5450,2,English
1801,1,B6CFC703E70BA5D92EE1C5924FA512BB859BCD4D,Email,.msg,55808,1702,2,English
1804,7,B95414522F45DBD02C075746666699F7EC3EC0F2,Email,.msg,72192,9658,5,English
1809,11,BCA64F6004B0AAB56F9C0D6BF7CFBD2CBAD15709,Email,.msg,145920,9445,6,English
1820,1,DA6C526BF8CEF85D3DEEC10F78229DF06D000E40,Email,.msg,410624,3178,2,English
1827,4,D19873DA1E1707223E7A832EC6F4C9F0551027F2,Email,.msg,97280,5069,3,English
1828,5,D3820F6D69C12BC397B37C7498C21615126D9598,Email,.msg,65024,5891,4,English
1874,3,8983EAD29A9D31AEF645D75BC6184E8C2B5BC338,Email,.msg,78336,8793,6,English
1877,3,D6877BFC7C0DD4DD87F544044CEFB4273435A8C5,Email,.msg,79872,5904,4,English
1883,4,DF35AE2B0DB0B708F90CA7864431742DE4DCBDF3,Email,.msg,124928,1099,2,English
1884,5,DF98FE6E64F645E775392BA0FCAEE99523FAD515,Email,.msg,78336,6106,3,English
1887,3,E5A0C95AB95A0B966E62C8E5087885DAF6B53A79,Email,.msg,66048,4294,3,English
1888,4,E6E74BE7690D53DA5FFEA6D88101D0CA3806CBF8,Email,.msg,47616,4825,2,English
1890,4,E86BE31A24A5972B245EA4E0A13FE8A6D144F346,Email,.msg,104448,2526,2,English
1891,5,F4D981482B7778B20B319D39C6FA0FB23959CB54,Email,.msg,373248,7527,5,English
1893,3,E8B988DD259F483FE436124D192AF5F1DDDD5766,Email,.msg,43008,5639,3,English
1896,3,385B5A365A77ABC5DFB861D8FF9F8CD9EA05F403,Email,.msg,46080,3944,2,English
1900,1,3DB7A8003C27CD84D887C3DBB35D1F10F0D700AD,Email,.msg,67072,5866,4,English
1901,1,3E7292BB94946F1D0E9E4E13BFCFF5252DE36CB8,Email,.msg,74752,2289,2,English
1907,5,5900A58F16500FC0B0834D30F5682A895D28023D,Email,.msg,107520,14035,6,English
1915,1,444B5D166C6D3DC07A43D9947ED15E59BFEA8F4F,Email,.msg,65024,4247,3,English
1922,4,B675B3222CAF6EFCF36318EF1066F47D3D7AE87B,Email,.msg,148992,8947,4,English
1926,3,47EB737D6BE4E64637CC7D16D5A72288F3BAFED8,Email,.msg,70144,6947,4,English
1950,5,691E06E6567EC527B226CAC0E41DCBBB898C5897,Email,.msg,65024,7312,5,English
1980,3,2435CDAFF915D7C90A53FAD20C61B0220BEFC9D4,Email,.msg,162304,10102,5,English
1992,1,2A96E3AEE35039209FC5BB4FCD5264318C80B3DE,Email,.msg,92160,3533,2,English
2016,1,69D8E68158A4504E1B6FF668DDE006E3ACA0DFCE,Email,.msg,52736,4015,2,English
2046,4,6EAF4A3250128E2980333D0CEFC7D6711452399C,Email,.msg,53760,5988,3,English
2049,6,801978005C02CFE083563F3A9ED8435A12F6325B,Email,.msg,199680,6084,4,English
2061,2,77EB798E99F120EC51F129536DDEC99051DA5DF4,Email,.msg,120832,8491,3,English
